nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2
2016.76,2151.41,2115.56,2091.53,4880.01,5096.97,9546.18,10754.3,3.84902,2.20203,0.610131,-0.263771,-1.49732,260.823,1.46372
2015.81,2154.95,2119.93,2083.22,5336.72,4420.03,11777.6,11758.9,3.75538,2.20203,0.593966,-0.156855,-0.862848,260.912,0.615424
2022.46,2146.69,2122.12,2093.61,3695.36,3309.58,9304.63,10646.8,3.85942,2.18037,0.723283,-0.0974564,-1.29338,261,-0.232869
2019.61,2152.59,2117.75,2094.65,3943.42,3054.57,8828.11,10671.9,3.49527,2.77614,0.618213,-0.228132,-0.726891,261,3.1603
2018.66,2156.13,2123.21,2086.34,4263.35,3309.58,10706.3,11923.7,3.94266,2.57033,0.488896,-0.204373,-0.726891,261.089,1.05528
2026.26,2151.41,2125.4,2094.65,3093.77,3083.55,8001.59,9633.03,4.06751,2.20203,0.424237,-0.168734,-1.2254,261.177,-0.57847
2021.51,2153.77,2123.21,2098.81,3392.82,3235.4,7258.87,7644.44,3.68255,2.48367,0.480813,-0.192494,-0.647583,261.266,-0.201451
2017.71,2157.31,2133.05,2097.77,4963.47,4597.38,7526.71,6459.07,3.88023,2.18037,0.488896,-0.168734,-0.862848,261.354,-2.27506
2027.21,2156.13,2135.23,2099.85,4127.72,4715.61,6046.21,6401.86,4.19237,2.13704,0.577801,-0.180614,-1.29338,261.354,1.87216
2025.31,2158.49,2130.86,2104.01,4870.74,5328.79,6143.15,6289.73,3.98428,2.25619,0.658625,-0.29941,-0.726891,261.443,-1.86662
2019.61,2157.31,2138.51,2098.81,4561.25,4858.18,6926.95,5903,4.08832,1.96372,0.585884,-0.216253,-1.49732,261.531,0.206987
2030.06,2158.49,2130.86,2097.77,3100.73,3772.07,6555.59,7292.03,4.10913,2.29952,0.804107,-0.192494,-1.49732,261.62,1.05528
2026.26,2158.49,2129.77,2104.01,5177.92,3987.68,8765.67,9351.56,3.47446,2.65699,0.715201,-0.133095,-1.08944,261.708,-1.89804
2018.66,2159.67,2141.79,2104.01,4662.1,3449.84,9178.11,10077,3.88023,2.34285,0.723283,-0.121216,-1.02147,261.797,0.206987
2028.16,2158.49,2131.96,2098.81,2131.67,2473.84,6747.84,8440.79,4.99351,1.84457,0.852601,-0.228132,-1.16875,261.885,-0.201451
2024.36,2159.67,2128.68,2105.05,2189.63,2753.19,8353.24,8255.43,4.11953,2.01788,1.07082,-0.156855,-0.670242,261.974,-0.201451
2017.71,2158.49,2133.05,2102.97,2725.16,2851.72,9887.97,8518.59,3.89064,2.27786,1.23247,0.02134,-0.738221,262.062,-4.00306
2028.16,2162.03,2135.23,2102.97,2235.99,2484.28,7559.58,7859.54,3.81781,2.12621,1.19206,-0.0855768,-0.171732,262.062,-0.232869
2026.26,2165.58,2130.86,2102.97,3509.9,3862.49,7063.34,6948.78,3.88023,2.32119,1.14357,-0.121216,0.474064,262.151,-1.01833
2020.56,2159.67,2138.51,2109.2,4240.16,4559.13,6384.7,6610.1,3.83861,2.16954,1.21631,-0.0855768,-0.171732,262.239,-2.27506
2028.16,2166.76,2136.33,2108.16,3397.46,3680.5,6046.21,6962.51,3.75538,2.06121,1.08699,-0.0736971,-0.0244454,262.328,-0.170033
2027.21,2171.48,2133.05,2098.81,4379.26,3795.26,7901.36,7269.15,3.82821,2.40785,1.08699,-0.0380582,0.678,262.505,-1.45818
2022.46,2162.03,2137.42,2105.05,3220.11,3297.99,7924.37,8177.63,3.85942,2.24536,1.21631,0.00946035,0.111512,262.593,-1.45818
2029.11,2167.94,2131.96,2106.09,3159.83,3273.65,8024.6,10026.6,3.83861,2.23453,1.05466,-0.133095,0.17949,262.682,-2.27506
2029.11,2170.3,2134.14,2099.85,4651.66,4156.91,9482.1,10237.2,3.97387,2.46201,1.20014,-0.0618175,0.678,262.77,1.02386
2025.31,2162.03,2139.61,2111.28,3440.35,3337.41,7334.46,7449.93,3.91145,2.53783,1.24864,0.0332196,-0.171732,262.77,-3.12335
2029.11,2170.3,2134.14,2109.2,3279.23,3191.35,7060.05,7800.05,3.83861,2.48367,0.981918,-0.0974564,0.17949,262.859,-1.04974
2032.91,2177.38,2143.98,2101.93,4924.06,4313.39,9091.02,9436.23,4.08832,2.46201,1.11124,-0.0499379,0.542043,262.947,1.02386
2029.11,2164.4,2145.07,2109.2,3573.65,3980.72,7789.62,8973.98,4.0363,2.24536,1.04658,0.02134,-0.398328,263.036,-0.609889
2032.91,2172.66,2136.33,2112.32,3540.04,3996.95,7056.76,8406.47,3.65133,2.60283,0.731366,-0.109336,0.0435332,263.124,1.02386
2033.86,2177.38,2147.25,2105.05,4968.11,4363.24,8796.9,8580.37,3.89064,2.48367,0.416155,-0.0974564,-0.0244454,263.213,3.12889
2032.91,2166.76,2143.98,2110.24,3402.09,3862.49,7332.82,8900.76,4.0363,2.29952,0.585884,-0.0261786,-0.738221,263.213,1.49514
2036.71,2173.84,2139.61,2115.44,3843.73,4735.32,7967.08,9488.86,3.67214,2.25619,0.513143,-0.156855,-0.670242,263.301,0.175568
2037.66,2182.1,2149.44,2110.24,4490.54,4480.31,9278.35,9401.9,3.75538,2.28869,0.650542,-0.0736971,-0.670242,263.39,-2.71491
2039.56,2167.94,2147.25,2112.32,3768.39,4497.69,7569.44,8420.19,3.92185,2.12621,0.650542,-0.00241929,-0.942157,263.478,0.175568
2036.71,2177.38,2143.98,2116.48,4184.52,4918.47,8566.84,9051.78,3.83861,2.1912,0.64246,-0.109336,-0.670242,263.567,-0.641307
2040.51,2183.28,2151.63,2114.4,5124.6,5727.54,9800.88,10168.5,4.10913,1.87706,0.739448,-0.109336,-0.874178,263.655,-1.89804
2044.31,2176.2,2146.16,2113.36,4324.78,5755.35,8445.25,10070.1,4.11953,2.24536,0.91726,-0.121216,-1.16875,263.655,0.615424
2041.46,2178.56,2140.7,2114.4,5132.71,6059.06,9452.52,10516.3,3.84902,2.21287,0.868766,-0.0380582,-0.670242,263.744,1.46372
2038.61,2178.56,2148.35,2117.52,5176.76,4860.5,10745.7,10912.2,3.88023,2.24536,1.03849,0.02134,-1.10077,263.832,3.94576
2046.21,2177.38,2143.98,2111.28,3550.47,3430.13,9365.44,12015.2,3.93225,2.16954,0.796024,-0.0855768,-0.738221,263.832,-1.45818
2041.46,2177.38,2142.88,2109.2,3917.92,3442.89,11992.9,13969.5,3.77619,2.53783,0.998083,-0.0736971,-0.103754,263.921,3.1603
2036.71,2180.92,2147.25,2118.56,3511.06,3328.13,11072.7,13088.5,3.92185,2.34285,0.74753,0.0450993,-1.10077,264.009,2.72045
2046.21,2180.92,2149.44,2117.52,2950.03,2648.88,8824.83,10358.4,3.89064,2.24536,0.998083,-0.0736971,-0.738221,264.009,-0.641307
2044.31,2180.92,2142.88,2108.16,3851.85,3262.06,9587.27,9276.04,3.90104,2.46201,0.909177,-0.0142989,-0.103754,264.009,-0.232869
2035.76,2178.56,2150.53,2120.64,4038.47,3848.57,8164.27,8534.61,3.797,2.31036,0.569719,-0.00241929,-0.8062,264.098,-2.71491
2047.16,2182.1,2151.63,2121.68,3185.34,3571.55,6626.25,7882.43,3.82821,2.24536,0.561637,-0.156855,-0.30769,264.098,-1.89804
2044.31,2183.28,2149.44,2111.28,4161.34,4261.23,7339.39,7127.27,3.85942,2.1587,0.440402,-0.133095,0.111512,264.186,0.584006
2035.76,2178.56,2156,2123.76,4361.88,4612.45,6703.48,7200.49,3.84902,2.12621,0.39999,-0.0736971,-1.10077,264.275,0.992444
2045.26,2186.82,2151.63,2124.8,3407.9,3948.27,6389.63,7491.12,4.02589,2.16954,0.391908,-0.275651,-0.8062,264.275,-1.04974
2044.31,2188,2151.63,2113.36,4619.21,5064.51,7511.93,7356.11,3.81781,2.14787,0.658625,-0.180614,-0.466306,264.363,0.615424
2038.61,2179.74,2153.81,2121.68,3111.15,4066.49,6576.96,7211.94,3.89064,2.16954,0.367661,-0.0261786,-1.31604,264.54,-1.04974
2046.21,2188,2152.72,2127.91,3444.99,3300.31,7073.19,7694.78,3.74497,2.31036,0.424237,-0.109336,-1.16875,264.628,-2.30648
2046.21,2191.54,2160.37,2119.6,3986.31,3668.91,8624.36,7882.43,3.86983,2.2237,0.424237,-0.0974564,-0.670242,264.717,1.46372
2042.41,2180.92,2158.18,2122.72,2824.84,3521.7,6994.33,7701.65,4.09873,2.12621,0.561637,-0.0499379,-1.38402,264.717,1.4323
2046.21,2190.36,2153.81,2129.99,3295.46,3062.68,7904.64,8541.48,3.84902,2.27786,0.416155,-0.133095,-0.466306,264.805,-1.4896
2048.11,2195.08,2162.55,2125.83,4170.61,3524.02,8672.01,7292.03,3.85942,2.32119,0.432319,-0.0142989,-0.466306,264.894,-0.201451
2044.31,2183.28,2159.28,2124.8,2894.39,3098.62,6884.23,7781.74,3.72416,2.11537,0.456566,0.00946035,-0.738221,264.982,-0.201451
2049.06,2191.54,2154.9,2126.87,3087.97,3167,7995.03,8555.21,3.82821,2.21287,0.650542,-0.180614,-0.398328,264.982,1.02386
