nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2,t
"2032,81","2172,99","2149,6","2118,65","4012,36","4683,18","7161,73","7076,89","4,94676","2,35113","-0,157052","-0,0854052","-0,239087","263,526","5,24374","1,42"
"2032,81","2175,35","2149,6","2124,89","4340,4","4803,73","6872,53","7202,75","4,99878","2,99024","-0,0923933","-0,0616459","0,180114","263,614","-3,99324","1,43"
"2037,56","2181,25","2156,16","2118,65","3899,92","4351,67","6826,52","6994,5","4,22885","2,55695","-0,00348755","-0,0972848","0,40671","263,614","-0,631481","1,44"
"2035,66","2172,99","2150,69","2121,77","4459,79","5150,31","7184,73","8017,41","5,23808","2,68694","0,0611712","-0,0735256","-0,737597","263,791","-3,96182","1,45"
"2034,71","2176,53","2155,07","2126,97","4076,11","4453,68","6553,75","7980,79","4,80109","2,90358","0,12583","-0,0854052","-0,737597","263,791","-1,91963","1,46"
"2036,61","2181,25","2153,97","2119,69","3848,92","3886,86","7165,01","7218,76","4,09359","2,55695","-0,0843109","-0,0378866","-0,0238215","263,88","-2,76792","1,47"
"2035,66","2171,81","2153,97","2123,85","3990,34","4016,68","8030,97","7749,66","4,01036","2,42696","0,101583","0,0215116","-1,10015","264,057","-1,10275","1,48"
"2040,41","2178,89","2159,44","2126,97","3789,8","3473,04","7105,86","7616,93","3,99995","2,29697","0,238983","-0,00224772","-0,60164","264,057","-0,223043","1,49"
"2038,51","2184,79","2156,16","2120,73","3767,78","3423,2","7457,5","7362,93","3,94793","2,38363","-0,0115699","-0,0378866","-0,239087","264,145","2,259","1,5"
"2038,51","2172,99","2159,44","2125,93","4049,46","4094,34","7584,02","8031,13","4,05197","2,19948","0,182406","0,0333912","-0,941533","264,234","0,593832","1,51"
"2045,16","2178,89","2165,99","2120,73","4057,56","3763,98","6626,05","7312,58","3,71903","2,19948","0,166242","-0,026007","-0,10313","264,234","1,41071","1,52"
"2041,36","2188,33","2156,16","2124,89","3962,52","3929,74","6716,42","6877,79","4,05197","2,17782","-0,0681463","-0,109164","-0,171109","264,322","1,37929","1,53"
"2043,26","2180,07","2158,34","2129,04","4596,57","5160,75","7273,47","8424,74","4,04157","2,08033","0,190489","-0,132924","-1,02084","264,322","2,66744","1,54"
"2048,96","2181,25","2164,9","2119,69","4074,95","4574,22","6673,7","8214,2","3,94793","2,19948","-0,0519816","-0,121044","-0,873554","264,411","4,80388","1,55"
"2042,31","2188,33","2155,07","2125,93","4300,99","4680,86","7699,04","7971,64","4,31208","2,25364","-0,189381","-0,144803","-0,60164","264,411","2,66744","1,56"
"2044,21","2182,43","2158,34","2129,04","4405,31","5110,9","7892,94","8806,89","5,99761","3,36937","-0,0600639","-0,121044","-0,873554","264,499","-0,662899","1,57"
"2050,86","2182,43","2162,72","2117,61","3500,02","3527,52","7630,03","8939,62","6,09125","4,21429","-0,0358169","-0,132924","-0,737597","264,411","-0,223043","1,58"
"2047,06","2188,33","2155,07","2125,93","3996,13","3476,52","8786,83","9788,6","5,07161","2,87108","-0,00348755","-0,0616459","-0,60164","264,499","-0,694317","1,59"
"2044,21","2185,97","2156,16","2132,16","4378,65","4108,25","8121,35","9628,42","4,70745","2,79526","-0,124723","-0,026007","-0,873554","264,499","2,66744","1,6"
"2054,66","2182,43","2163,81","2124,89","3595,06","3374,52","7850,22","8836,64","4,26006","2,56778","-0,229793","-0,109164","-0,533661","264,499","1,00227","1,61"
"2044,21","2189,51","2158,34","2133,2","3385,26","3505,5","7754,92","7509,38","4,39532","2,35113","-0,205546","-0,0854052","-1,23611","264,588","2,29042","1,62"
