t;nwl1;nwl2;nwl3;nwl4;fprd1;fprd2;fprd3;fprd4;pstr1;pstr3;astrw;g2;ny;vcrf;v2
0.52;1969.928838764205;2090.2300792562073;2066.056489304575;2042.2320220031265;3119.1920867703952;3481.4848472261497;8235.982548950293;8857.225237312257;3.654902616748185;2.038376083663689;0.7276200489674619;-0.09628915802510422;-0.634094914586432;255.77495451612353;0.1845334714581454
0.53;1970.4672135161616;2090.9057648743183;2066.8243268531232;2042.857571685078;2899.645060761528;3141.763218786347;8326.909043081965;9136.750222209825;3.653623897867912;2.0382293591992755;0.7281014576454286;-0.09615233075263381;-0.6437973308366167;255.86072850460417;0.1832121866978179
0.54;1971.051558681752;2091.6391886116803;2067.6256322519985;2043.5106997747707;2785.025294050532;2901.106478817942;8313.430409818644;9020.450979924486;3.652310953553381;2.0381063110294524;0.7273123030968404;-0.09600641110435329;-0.6523917600577599;255.944983550365;0.18188490850504305
0.55;1971.69133373654;2092.4428202885897;2068.465145068546;2044.1959860848433;2768.7186673058804;2756.827609230842;8188.361005020463;8503.234348751887;3.6509615902678236;2.038011907104351;0.7249940605673764;-0.09585021865223427;-0.659622257379426;256.02764670064056;0.18055112087683742
0.56;1972.3463438760682;2093.2636723139162;2069.3210937399685;2044.8900438242285;2827.3251690017023;2672.7301566115125;7998.854886033641;8106.112789731611;3.6495856266213305;2.0379254154769804;0.7220060382657117;-0.09568870273216107;-0.666597712958621;256.1084812663449;0.1792128911551655
0.57;1973.0360559257163;2094.127284400769;2070.2044849224026;2045.6047206171804;2994.168314031817;2691.445785006692;7712.56272692554;7750.052728137507;3.6481776620684547;2.03785713003618;0.7179359564541817;-0.0955193548899464;-0.6727509582780636;256.18732015835764;0.17786920816239357
0.58;1973.7287881598982;2094.9922044773753;2071.0957134074856;2046.317218505036;3162.8702003105727;2838.3468686420774;7406.247527867083;7206.271706494536;3.646747484383483;2.0377903608064387;0.7132724255029078;-0.09534630987554457;-0.6790592078518584;256.2683398822513;0.1765216288957451
0.59;1974.4215331346168;2095.8544300791623;2071.993144632217;2047.0255931215584;3334.613229050595;3130.0740371188544;7082.268005948003;6552.17772974056;3.645295676456339;2.0377236691419447;0.708059948178675;-0.09516989778495841;-0.6855991041919276;256.35180523266547;0.17517029355127944
0.6;1975.1474179654683;2096.757345305043;2072.9163200688013;2047.7515804209281;3592.590648593394;3597.7900091923807;6670.456213473293;5876.498236295729;3.6438124747691987;2.0376746099182093;0.7016724321359253;-0.09498580036835111;-0.6913751100657375;256.43552673630165;0.17381351534293396
0.61;1975.90013852385;2097.692670770883;2073.8613213352605;2048.490453577909;3917.708863668022;4263.2770949645255;6184.996936039513;5164.651514844096;3.6422997061395255;2.037639957629757;0.6941890194944607;-0.09479480678820211;-0.6965767140393793;256.52059485555304;0.17245159119578163
0.62;1976.6185711585167;2098.579761277345;2074.7956599478325;2049.2078255437523;4103.631101182727;4800.141517991644;6121.8301158395625;5074.647008569431;3.6407718796249577;2.037588263247435;0.6869929027041115;-0.09460439695426516;-0.7029014853459384;256.612393535049;0.17108768363360213
0.63;1977.3019904814912;2099.417589228825;2075.719167829919;2049.9034735557802;4141.638787321995;5196.724201814878;6520.503510462658;5694.367888639203;3.639228816406107;2.0375193121616806;0.6800978740004839;-0.09441459376882638;-0.7103562718656559;256.71149639669864;0.1697218204342307
0.64;1977.9758673520673;2100.239751995181;2076.6450008832894;2050.5907693912714;4118.306178540185;5021.384384866104;7050.79896415887;6700.2250857083345;3.637664555850459;2.0374463220928676;0.6728680711217537;-0.09422225625476857;-0.7182382160688016;256.8163723268826;0.16835265133338306
0.65;1978.6249602452363;2101.026100913877;2077.565116490066;2051.261091280511;3978.7676493071676;4132.41477403935;7841.162441699212;8293.089577720953;3.6360825396751357;2.0373615539310492;0.6656378616749323;-0.09402921034589334;-0.726964161697197;256.9287525067374;0.1669809546800559
0.66;1979.2937264651712;2101.835146888888;2078.503690489802;2051.9400670493856;3868.92411763582;3773.3317665574214;8720.024448802567;9608.613405977207;3.6344714600300962;2.0372881841445336;0.6574090431458068;-0.09382988406916534;-0.7352689545315207;257.02781111458614;0.16560441792684744
0.67;1979.9851665289289;2102.6708057907767;2079.462309963739;2052.6291610132;3796.405113136012;3869.598832425305;8552.756175570827;10464.225185917792;3.6328304343197972;2.03722788526253;0.6480916953104959;-0.09362386455329125;-0.7430631080845536;257.111988416156;0.16422286916866113
0.68;1980.6645642087317;2103.4872824154536;2080.422321108158;2053.3084004854845;3640.988019103215;3615.646721218158;8702.555121876285;10386.540684197782;3.6311678015807924;2.0371628166140465;0.6384469053478745;-0.0934154012419362;-0.7513158133931682;257.1928844324185;0.16283809232905208
0.69;1981.3418370347583;2104.297595588627;2081.389126077872;2053.98336283201;3433.085249759704;3228.626927029556;8620.363895233153;9678.229329404217;3.629480900594214;2.0370982461871123;0.6282368787425521;-0.09320321580536188;-0.7597397948611502;257.26503669114555;0.16144955957689183
0.7;1982.029792397933;2105.129031561971;2082.3302795377176;2054.675476135063;3328.3262061793685;3017.6932696276863;8481.787593695091;9303.720407116447;3.627812609107519;2.0370141142788203;0.6240596101642928;-0.09299332632334804;-0.7646956729904604;257.34001567393443;0.16005749590164792
