t;nwl1;nwl2;nwl3;nwl4;fprd1;fprd2;fprd3;fprd4;pstr1;pstr3;astrw;g2;ny;vcrf;v2
0.41;1938.442825743874;2064.6636151400544;2034.8932698298424;2006.8803955598225;3735.35704307873;3510.218091661911;7748.544442104797;8359.711571334112;4.336688905884051;3.944596503688362;1.3562151449192152;-0.13938602046987852;-1.1583973596097814;251.15521212864377;-1.0462014205358652
0.42;1939.1010770784762;2065.52359037726;2035.6699452938255;2007.5993362561544;3756.257524307766;3526.837637143612;7740.803696370654;8394.317366153655;4.346724823146863;3.9274231818737086;1.3665591290289483;-0.1384992058955664;-1.1488252172794564;251.23426253126541;-1.0450883007712053
0.43;1939.7538512332037;2066.386052393604;2036.452113745332;2008.3262781683413;3779.3767684054396;3638.384993307625;7811.9595224786135;8463.01837433671;4.35575190698639;3.903885695025552;1.3773754987500106;-0.13758373973037355;-1.1387313791162033;251.31689463665484;-1.0439842226996827
0.44;1940.329607027271;2067.205159824305;2037.1886881635457;2009.0230081622321;3809.6602543074196;3708.3319359685197;7909.790469491502;8560.34778472172;4.358303999472668;3.8535831695680822;1.389469408684323;-0.13668320128955952;-1.1268819471086646;251.39956468886015;-1.0428736948038253
0.45;1940.8427456211543;2067.990051581153;2037.8902683743654;2009.69758299928;3846.192546795406;3804.3443041897613;8061.651601898131;8695.497840314361;4.3554428649527175;3.7803626993087676;1.402723401485176;-0.13578753617869083;-1.1134798437099322;251.48357184800474;-1.0417602986234595
0.46;1941.3755671774531;2068.7956330510615;2038.613116318369;2010.3910783005003;3882.3278076551014;3854.816793264466;8133.1979041396835;8769.462797398253;4.354166099488507;3.725548892266679;1.4153619482716746;-0.13485718407548644;-1.1008196469506586;251.56776657212663;-1.04065805482112
0.47;1941.924789172907;2069.6199792393472;2039.3548106955002;2011.101652473766;3918.239009203902;3865.6381484974127;8111.62538329046;8775.573496074645;4.354275488158551;3.6899023842501917;1.4273580907710888;-0.13389450080316323;-1.088910899536917;251.65178414514912;-1.0395661259060975
0.48;1942.4587939656412;2070.4417380239106;2040.0943086734567;2011.8141839572743;3956.645566522543;3838.573966611345;8083.921830679216;8769.061601122086;4.352986082009133;3.655793001517379;1.4395076556295454;-0.13291233935597094;-1.0767555756194793;251.73717604994044;-1.0384799713589525
0.49;1942.9962220007642;2071.2734479899905;2040.8443456486975;2012.537967939874;3996.018212431399;3760.175017106511;8015.281417956518;8724.436970992983;4.351911488080085;3.633618108520049;1.4513733263414887;-0.13190179782772826;-1.0649098932626966;251.82363101765412;-1.0374027470167633
0.5;1943.4673379120095;2072.0692194668377;2041.55672242945;2013.2375950166818;4041.748026783601;3795.585288692976;7974.254442534961;8697.843282272752;4.345320703980973;3.5932447637689613;1.46422065630798;-0.13089866626480393;-1.051676272453703;251.91099587784694;-1.0363217589845615
0.51;1943.8665678060213;2072.8253972837365;2042.2277223690085;2013.9103919260212;4094.2891228723865;3954.899306278925;7971.87754776026;8695.720322491317;4.332753170647226;3.5325868733550774;1.478152671458226;-0.12990526819830994;-1.036917466001887;251.9994961168224;-1.0352361873294484
0.52;1944.2427062051977;2073.574368461066;2042.8909870379155;2014.5810396475117;4149.792260710151;4146.9428208601275;7946.247498786441;8669.272625832029;4.31829924945073;3.475249863093778;1.4921859476297166;-0.12889697071044173;-1.021922748575204;252.08899811774546;-1.0341547692917388
0.53;1944.5788769005244;2074.305075897745;2043.5349140949506;2015.2410408864623;4209.563348833043;4413.831476543966;7914.930491810281;8631.739396503983;4.300582625940073;3.41449260154657;1.5066131876874809;-0.12788220153068616;-1.0062955657435833;252.17955941074223;-1.0330745181163996
0.54;1944.9697763509068;2075.077182829962;2044.2286316630102;2015.9427074423083;4223.313491887424;4509.014397584864;7959.198801409372;8693.870176711163;4.321466726380263;3.441420476337444;1.5207809555026612;-0.126796998477973;-0.9912102441018038;252.2689185157382;-1.0320182127939599
0.55;1945.4289686971804;2075.8994483001406;2044.9819114197326;2016.6933834143258;4185.551453025672;4406.002182772297;8080.5657392474495;8861.212950360103;4.385602781563684;3.568097329931071;1.5345175872064938;-0.12563277599162032;-0.9769171224712733;252.35684832796778;-1.0309889096908944
